Time,Actual,Predicted,Error
2019-01-13 15:08:00,52882032.87493134,96543837.5470172,43661804.67208586
2019-01-13 15:12:00,46709328.8657328,97999397.13113433,51290068.265401535
2019-01-13 15:32:00,108396720.81974009,63236595.97566055,45160124.84407954
2019-01-13 15:34:00,42236096.81514079,89306277.58419889,47070180.7690581
2019-01-13 15:52:00,150813640.77374732,79763465.45641229,71050175.31733504
2019-01-13 19:18:00,149593584.3000222,86989841.18002361,62603743.119998604
2019-01-13 21:42:00,150862839.96887457,96430854.06442961,54431985.90444496
2019-01-13 21:46:00,61662359.95967604,122363067.25962752,60700707.29995148
2019-01-14 00:30:00,56093983.58253565,99485336.00229731,43391352.419761665
2019-01-14 00:54:00,206323639.5273444,117061874.96297157,89261764.56437284
2019-01-14 01:18:00,104874311.4721531,151477915.74797034,46603604.275817245
2019-01-14 01:20:00,73218815.46755382,121932031.48709723,48713216.01954341
2019-01-14 01:38:00,34480287.42616037,80639389.98386024,46159102.55769987
2019-01-14 02:14:00,94780935.34337346,34488114.29616293,60292821.04721053
2019-01-14 07:48:00,107546062.57529488,63636938.79162577,43909123.783669114
2019-01-14 08:46:00,164177902.44191596,66214400.96756688,97963501.47434908
2019-01-14 09:52:00,201259918.29014,80685364.84628202,120574553.44385798
2019-01-14 09:54:00,74482206.2855407,152858817.7636817,78376611.47814101
2019-01-14 09:58:00,152830614.27634215,93884014.22021787,58946600.056124285
2019-01-14 10:00:00,173227950.27174288,130641851.10382837,42586099.16791451
2019-01-14 10:02:00,47394942.2671436,146212483.14504725,98817540.87790364
2019-01-14 15:44:00,103829901.48066792,61567615.748525865,42262285.73214205
2019-01-14 19:08:00,74075797.0115421,118239854.64998484,44164057.63844274
2019-01-14 19:34:00,187760796.9517516,145209960.7326442,42550836.21910739
2019-01-14 21:00:00,132377172.7539828,184498980.3581849,52121807.60420211
2019-01-14 23:36:00,93477501.39523952,135781249.76480135,42303748.369561836
2019-01-15 01:12:00,36724748.17447443,128887311.27901891,92162563.10454448
2019-01-15 07:44:00,128405019.27301694,73647355.6027202,54757663.67029674
2019-01-15 09:52:00,128436946.97866347,83410741.4930739,45026205.48558958
2019-01-15 12:32:00,128493651.61072163,82165697.36985967,46327954.24086197
2019-01-15 15:34:00,87063746.1921878,129376938.69523732,42313192.50304952
2019-01-15 15:50:00,174280858.15539363,110839424.57738982,63441433.57800381
2019-01-15 16:08:00,182149979.11400017,123519549.7326926,58630429.38130757
2019-01-15 18:32:00,182845594.78285253,132291583.50848866,50554011.274363875
2019-01-15 21:00:00,183950529.4425063,122283063.01482114,61667466.42768517
2019-01-15 22:06:00,191050777.29073036,141170882.75979698,49879894.53093338
2019-01-15 22:36:00,79314905.22174123,148249557.72178364,68934652.50004241
2019-01-15 22:38:00,58310857.21714195,106988095.73813108,48677238.52098913
2019-01-16 07:56:00,285104639.9339448,61951024.34518119,223153615.58876362
2019-01-16 07:58:00,296757679.92934555,193062858.01714313,103694821.91220242
2019-01-16 08:00:00,94493687.92474626,221850435.0852012,127356747.16045494
2019-01-16 08:24:00,170282911.869555,107002388.09176308,63280523.77779192
