time,forecast_bytes
40298,31052432.822321378
40299,30833957.249539766
40300,30224871.356026743
40301,29920759.945766617
40302,29888833.50634985
40303,30105377.471234452
40304,30553695.06025023
40305,31222578.40545649
40306,32105154.407422148
40307,33197997.70798773
40308,34500434.5414999
40309,36013982.93460323
40310,37741889.95351555
40311,39688737.54524043
40312,41860096.37862242
40313,44262212.894679956
40314,46901719.150086895
40315,49785358.40509434
40316,52919722.05086556
40317,56310995.579442106
40318,59964712.99528408
40319,63885520.428598456
40320,68076950.78520347
40321,72541212.08331001
40322,77278992.70021242
40323,82289287.0911726
40324,87569245.65680932
40325,93114052.33366494
40326,98916833.17877461
40327,104968598.7315997
40328,111258222.29001208
40329,117772455.46100408
40330,124495981.47619236
40331,131411505.83510299
40332,138499882.89571792
40333,145740276.1117703
40334,153110348.75789616
40335,160586481.22125965
40336,168144010.30072027
40337,175757485.46448922
40338,183400936.68959856
40339,191048148.34875038
40340,198672933.6219058
40341,206249404.0836814
40342,213752229.43939748
40343,221156882.8332015
40344,228439867.70796648
40345,235578922.83291855
