id_time,n_bytes_100610,n_bytes_101,n_bytes_10125,n_bytes_10158,n_bytes_101925,n_bytes_10196,n_bytes_10197,n_bytes_10256,n_bytes_103,n_bytes_1037,n_bytes_sum
0,11462.0,0.0,643.0,207113.0,0.0,432.0,522456.0,1096165,52873710.0,0.0,54711981.0
1,6413.0,0.0,627.0,250659.0,0.0,460.0,158489.0,26241198,24294551.0,0.0,50952397.0
2,12698.0,0.0,3228.0,99248.0,0.0,10317.0,517757.0,675066,34844437.0,0.0,36162751.0
3,7822.0,0.0,764.0,155828.0,0.0,1252.0,778807.0,581733,15192939.0,0.0,16719145.0
4,9862.0,0.0,460.0,123368.0,0.0,708.0,5637258.0,573422,12000725.0,0.0,18345803.0
5,9871.0,0.0,452.0,142191.0,0.0,1234.0,237039.0,512942,67231468.0,0.0,68135197.0
6,2888.0,0.0,396.0,260324.0,0.0,684.0,539899.0,12227588,105150600.0,0.0,118182379.0
7,626.0,0.0,536.0,134418.0,0.0,592.0,10432978.0,7498673,37111365.0,0.0,55179188.0
8,3563.0,0.0,720.0,194935.0,0.0,806.0,544081.0,6428965,96590783.0,0.0,103763853.0
9,14081.0,0.0,2676.0,179506.0,0.0,492.0,111414.0,71782920,133314927.0,0.0,205406016.0
10,11953.0,0.0,424.0,153590.0,0.0,946.0,370198.0,2066722,31095159.0,0.0,33698992.0
11,7277.0,0.0,392.0,180812.0,0.0,967.0,239590.0,62499051,13445228.0,0.0,76373317.0
12,4949.0,0.0,636.0,271191.0,0.0,708.0,516225.0,133432358,68197064.0,0.0,202423131.0
13,3494.0,0.0,659.0,97290.0,0.0,512.0,90839.0,14592919,121582932.0,0.0,136368645.0
14,2639.0,0.0,416.0,203671.0,0.0,592.0,306766.0,93963556,227206850.0,0.0,321684490.0
15,3169.0,0.0,476.0,164072.0,0.0,1421.0,144924.0,60007517,159990472.0,0.0,220312051.0
16,4945.0,0.0,0.0,153943.0,0.0,392.0,44441.0,6730292,153229109.0,0.0,160163122.0
17,8312.0,0.0,240.0,91247.0,0.0,920.0,388315.0,46511665,917998809.0,0.0,964999508.0
18,2106.0,9518332.0,336.0,141577.0,0.0,332.0,669312.0,23858451,462118904.0,0.0,496309350.0
19,9682.0,181008.0,352.0,142048.0,0.0,1393.0,368003.0,119689526,385912157.0,0.0,506304169.0
20,6879.0,80444.0,440.0,177429.0,0.0,868.0,544832.0,77335718,343090485.0,0.0,421237095.0
21,5260.0,2038.0,200.0,183378.0,0.0,516.0,4752951.0,27691732,559043976.0,0.0,591680051.0
22,4816.0,662480.0,213.0,105798.0,2271742.0,1776.0,8665821.0,509432640,776263247.0,0.0,1297408533.0
23,4007.0,8790.0,313.0,69507.0,3072778.0,1333.0,24933104.0,121568012,942176239.0,380.0,1091834463.0
24,5279.0,137603.0,504.0,73153.0,6166694.0,504.0,12453859.0,61273295,2631893611.0,0.0,2712004502.0
25,680.0,3716.0,416.0,73169.0,2485662.0,224.0,116124893.0,327405041,935433729.0,589.0,1381528119.0
26,5821.0,0.0,0.0,167468.0,24018347.0,1100.0,17317343.0,130917786,1045195639.0,0.0,1217623504.0
27,7199.0,279.0,0.0,69741.0,55873.0,292.0,61142743.0,82317687,1305404990.0,0.0,1448998804.0
28,7750.0,18005.0,0.0,83620.0,62125.0,3022.0,39695523.0,115233974,1051487368.0,0.0,1206591387.0
29,7519.0,10513.0,284.0,115379.0,0.0,568.0,89703638.0,74519833,861852716.0,0.0,1026210450.0
30,16420.0,10466.0,380.0,99373.0,0.0,328.0,132857464.0,24025088,1203566828.0,0.0,1360576347.0
31,8911.0,73582.0,344.0,87194.0,0.0,72.0,289778534.0,85524785,1426924543.0,0.0,1802397965.0
32,4560.0,21323.0,244.0,89911.0,0.0,12395.0,217296665.0,98483895,1353300021.0,0.0,1669209014.0
33,7490.0,86726.0,140.0,116340.0,644675.0,0.0,109415012.0,45582359,1399166966.0,0.0,1555019708.0
34,3208.0,0.0,154.0,65268.0,480863.0,2103.0,15544950.0,89556788,1944728736.0,0.0,2050382070.0
35,6351.0,23775.0,172.0,98341.0,12568573.0,1590.0,45264068.0,43290788,2411116479.0,0.0,2512370137.0
36,6982.0,61928.0,164.0,83152.0,1126744.0,698.0,7132705.0,35401876,1488101547.0,0.0,1531915796.0
37,408.0,13561.0,1286.0,73172.0,576509.0,606.0,16865340.0,84399373,2634320882.0,0.0,2736251137.0
38,5581.0,1381.0,0.0,182765.0,253085.0,1606.0,17015412.0,189149054,1104542414.0,0.0,1311151298.0
39,6691.0,8667.0,80.0,118199.0,36780.0,3615.0,12431403.0,39714123,1288289835.0,0.0,1340609393.0
40,5687.0,156036.0,0.0,73727.0,2672717.0,1434.0,42115697.0,118229706,1478251389.0,0.0,1641506393.0
41,1674.0,3052165.0,524.0,63386.0,1056005.0,0.0,6988580.0,73178431,1799185621.0,0.0,1883526386.0
42,753.0,18342.0,0.0,88298.0,406309.0,575.0,8876172.0,33537161,1966515160.0,0.0,2009442770.0
43,945.0,0.0,296.0,70724.0,73361.0,616.0,24091231.0,54092626,1203457822.0,0.0,1281787621.0
44,616.0,0.0,36.0,240212.0,37657.0,1144.0,6460262.0,57496281,2498267852.0,0.0,2562504060.0
45,0.0,1880.0,192.0,84178.0,854412.0,687.0,26709274.0,59502338,1841185615.0,0.0,1928338576.0
46,124.0,0.0,338.0,102516.0,13402338.0,0.0,5559349.0,85105595,3536111913.0,0.0,3640282173.0
47,0.0,0.0,232.0,69188.0,3073372.0,903.0,12093149.0,71433512,2010544535.0,0.0,2097214891.0
48,5717.0,2394.0,870.0,157335.0,17417.0,511.0,8433565.0,84465396,1598275960.0,0.0,1691359165.0
49,12014.0,3530.0,312.0,117282.0,305940.0,1210.0,5561927.0,361294702,2310764716.0,0.0,2678061633.0
50,4507.0,280.0,36.0,118454.0,4008.0,920.0,14181216.0,26749393,2782738697.0,0.0,2823797511.0
51,0.0,6736.0,192.0,104504.0,28013.0,368.0,18384207.0,135973441,1718299748.0,0.0,1872797209.0
52,26799.0,793593.0,240.0,168863.0,9868.0,535.0,9872870.0,81896755,988561754.0,0.0,1081331277.0
53,27404.0,26944.0,120.0,100052.0,19817.0,434.0,15038182.0,175610080,1807408557.0,0.0,1998231590.0
54,40164.0,16880.0,0.0,200296.0,0.0,1183.0,28401400.0,211147443,2626627844.0,0.0,2866435210.0
55,16856.0,2287.0,2836.0,79647.0,16753.0,1550.0,8461203.0,75877342,3294724449.0,0.0,3379182923.0
56,6457.0,32358.0,376.0,148436.0,216312.0,504.0,16448874.0,64339273,1323765742.0,0.0,1404958332.0
57,4435.0,8708.0,200.0,98795.0,76914.0,990.0,19170152.0,31903722,1302616480.0,0.0,1353880396.0
58,8913.0,37778.0,184.0,80065.0,431136.0,728.0,132108554.0,160640090,1618576883.0,0.0,1911884331.0
59,80.0,819501.0,816.0,73709.0,632911.0,364.0,12580535.0,77159025,2692066100.0,0.0,2783333041.0
60,6701.0,132634.0,252.0,224966.0,2535082.0,324.0,9809552.0,56058072,1681409251.0,0.0,1750176834.0
61,22576.0,44860.0,160.0,113560.0,2218856.0,1406.0,22663553.0,466536819,2300469034.0,0.0,2792070824.0
62,15588.0,43654.0,80.0,135583.0,4115198.0,263.0,10020127.0,140454038,2165277996.0,0.0,2320062527.0
63,21301.0,80265.0,304.0,111055.0,7198543.0,80.0,31344169.0,229236669,2605870998.0,0.0,2873863384.0
64,11422.0,6034730.0,380.0,159329.0,2742704.0,0.0,13687887.0,99225334,1428842307.0,0.0,1550704093.0
65,7641.0,14081.0,224.0,132771.0,74464.0,479.0,50763055.0,110144776,1633908162.0,0.0,1795045653.0
66,5624.0,13738.0,280.0,121088.0,13325057.0,528.0,12416774.0,178429795,1947902690.0,0.0,2152215574.0
67,11820.0,150176.0,288.0,99802.0,2770330.0,735.0,70077574.0,280436653,1581504836.0,0.0,1935052214.0
68,348.0,7315527.0,0.0,107142.0,3421615.0,369.0,192690390.0,500953659,2546421887.0,0.0,3250910937.0
69,576.0,28262.0,120.0,104802.0,5451793.0,1108.0,11100667.0,77635233,1516957348.0,0.0,1611279909.0
70,14330.0,26238.0,204.0,217315.0,2391096.0,923.0,16940771.0,406157383,1627576083.0,0.0,2053324343.0
71,7042.0,58103.0,204.0,96293.0,251254.0,1728.0,21512673.0,80007830,1296523078.0,0.0,1398458205.0
72,12120.0,485900.0,128.0,241742.0,516352.0,1848.0,11706837.0,247856252,894725050.0,0.0,1155546229.0
73,280.0,0.0,0.0,201006.0,280139.0,1271.0,26322741.0,177630441,1781714507.0,0.0,1986150385.0
74,560.0,0.0,116.0,1144622.0,79850.0,1098.0,13836619.0,196777929,1262716771.0,0.0,1474557565.0
75,713.0,0.0,164.0,210349.0,3381806.0,1991.0,16088208.0,622994297,1190445234.0,0.0,1833122762.0
76,200.0,0.0,0.0,104321.0,14280.0,1712.0,6166843.0,42449386,1995493296.0,0.0,2044230038.0
